"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","rep_5","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.017981135004537,0.0145145728890453,0.0171544061127507,0.0162174351498103,0.0149675827465045,0.0161670263805296,0.0014523874699991
0,0,0,0,0,0,1,0,0.000282114793087918,1.70785909668902e-05,0.00159579436371362,0.000774986984927661,0,0.000533994946539219,0.000671061081081442
0,0,0,0,0,0,1,1,0.0201413998920853,0.0114611091062102,0.0212261026072121,0.0168970872388418,0.0157396752525695,0.0170930748193838,0.00387180009031214
0,0,0,0,0,1,0,0,0.023142063527913,0.0205257640071169,0.0230206745097214,0.0226914893928754,0.0222343524917996,0.0223228687858853,0.00106434424948803
0,0,0,0,0,1,0,1,0.0328316201725377,0.0386214285168068,0.0362215343191865,0.0341716093521483,0.0328458040626085,0.0349383992846575,0.00248075490692379
0,0,0,0,0,1,1,0,0.024937187859628,0.0266267549460211,0.028048494952601,0.0250078244803976,0.0215913214676139,0.0252423167412523,0.00241190599109936
0,0,0,0,0,1,1,1,0.0318715803876083,0.0345445129421648,0.0354700523293707,0.0329863655639388,0.0323099692559927,0.0334364960958151,0.00152345771825046
0,0,0,0,1,0,0,0,0.0299908814499566,0.0199614097179031,0.0250955287986524,0.0217337747115354,0.0211371612020614,0.0235837511760218,0.00405790472369982
0,0,0,0,1,0,0,1,0.0388863412514599,0.0303308295927956,0.0343511518059705,0.0395035154501669,0.0349802870626553,0.0356104250326096,0.0037331203771381
0,0,0,0,1,0,1,0,0.0296083007022661,0.0194283419308263,0.0290325993910756,0.0237523220470967,0.020888437359321,0.0245420002861172,0.00463558237398501
0,0,0,0,1,0,1,1,0.0382089051955696,0.0323169685667531,0.0431539861783136,0.0360484979705011,0.0322549741848497,0.0363966664191974,0.0045514928899618
0,0,0,0,1,1,0,0,0.0345945932285675,0.0337758022047683,0.0373920480456905,0.0381216739907846,0.0375578915769185,0.0362884018093459,0.00196039986083503
0,0,0,0,1,1,0,1,0.0467917990420545,0.0559486714893284,0.0463525224880279,0.0509255648118101,0.0459564172082751,0.0491949950078992,0.00427055045932933
0,0,0,0,1,1,1,0,0.0401351442922876,0.0470635983226308,0.045398845323297,0.0462319705381937,0.0409200102293692,0.0439499137411557,0.0031911987898869
0,0,0,0,1,1,1,1,0.0487691614218372,0.0544149868846141,0.0575067245594946,0.0474472108291906,0.0464893505920143,0.0509254868574302,0.00479366114282549
0,0,0,1,0,0,0,0,0.0226443026574039,0.0205721719466459,0.016448997846847,0.0132296495515902,0.0161084091306265,0.0178007062266227,0.00376586619361909
0,0,0,1,0,0,0,1,0.0244584395341512,0.0310912120501085,0.0290486844302309,0.0356798334407624,0.0311459742968213,0.0302848287504149,0.00406118102793724
0,0,0,1,0,0,1,0,0.0178557507369166,0.0201637235898789,0.02092998033032,0.00943771538588008,0.0160931023713258,0.0168960544828643,0.00458646896355952
0,0,0,1,0,0,1,1,0.0250711313288766,0.0356995878078514,0.034839864916381,0.0348731481320663,0.0252568697736377,0.0311481203917626,0.00547396782180879
0,0,0,1,0,1,0,0,0.028171285830554,0.0389594686222195,0.0351799074527741,0.0407085179109469,0.0341280721635306,0.035429450396005,0.00486740157446365
0,0,0,1,0,1,0,1,0.041322257479769,0.0545168621960536,0.0452742727372474,0.046629952765737,0.041719528024133,0.045892574640588,0.00532931694957393
0,0,0,1,0,1,1,0,0.033190399875027,0.0441782415385613,0.0407558461369296,0.0417463324714029,0.0334034566445557,0.0386548553332953,0.0050476888292667
0,0,0,1,0,1,1,1,0.0361536657771997,0.0562722617087116,0.0555008515656471,0.0490077207051176,0.0420763715658764,0.0478021742645105,0.0086737812147089
0,0,0,1,1,0,0,0,0.0474989151812718,0.0371638224763866,0.0386223062574113,0.0403695022706014,0.0383022749440103,0.0403913642259363,0.00413608040289138
0,0,0,1,1,0,0,1,0.0504029913164871,0.0459760139512013,0.0438157259168154,0.0427006165862573,0.0391309373797806,0.0444052570301083,0.00416868947108536
0,0,0,1,1,0,1,0,0.0319883224349934,0.0277710248110871,0.0375616277764197,0.0411247117651814,0.0370963305216007,0.0351084034618565,0.00523779916119457
0,0,0,1,1,0,1,1,0.0387030185927136,0.0455409023993597,0.0470107952834709,0.043069877690885,0.0397058837652434,0.0428060955463345,0.00359425941598415
0,0,0,1,1,1,0,0,0.0493746290821766,0.0549236530691969,0.0528490784423404,0.0560298485739165,0.0476146018542358,0.0521583622043732,0.0035884278386615
0,0,0,1,1,1,0,1,0.056629236131807,0.0797161822595309,0.0640347020289783,0.0663360806585986,0.0584013784405248,0.0650235159038879,0.00912265944267911
0,0,0,1,1,1,1,0,0.0471855816298204,0.0625017162231526,0.0580138181638165,0.058049547624886,0.0450706249857633,0.0541642577254878,0.00759644462601127
0,0,0,1,1,1,1,1,0.0585044965649714,0.0740255884759084,0.0710610197509755,0.0666658202833138,0.0617518986783608,0.066401764750706,0.00640096027879718
0,0,1,0,0,0,0,0,0.0266891799853757,0.0265740299090801,0.0266681149155335,0.0219589804199164,0.0221876501397458,0.0248155910739303,0.00250502420706622
0,0,1,0,0,0,0,1,0.0463744928928858,0.0415149922350295,0.0390752398091725,0.0417566566388733,0.0414068845553819,0.0420256532262686,0.00266145421986733
0,0,1,0,0,0,1,0,0.0268335071042067,0.0206211504576724,0.0283436715793112,0.0234436247816902,0.0222580116302097,0.0242999931106181,0.00320963265266195
0,0,1,0,0,0,1,1,0.0367047956039113,0.0401831726898147,0.0162018359622763,0.0379466914599184,0.034264352463903,0.0330601696359647,0.00966374716432348
0,0,1,0,0,1,0,0,0.040581469744014,0.0454722200827415,0.0380490044581442,0.0405062120157754,0.0389150926609655,0.0407047997923281,0.00287398869623654
0,0,1,0,0,1,0,1,0.0449802010470104,0.0624130251681784,0.043095006399391,0.0443438418889387,0.0405423157575233,0.0470748780522084,0.00874097728716837
0,0,1,0,0,1,1,0,0.0457064436755297,0.0578848503445701,0.0488855711518848,0.044248959670299,0.0394271423932136,0.0472305934470994,0.00686220012270415
0,0,1,0,0,1,1,1,0.0439263899796845,0.052243902644813,0.0489358589941006,0.0467320342533982,0.0426725131617841,0.0469021398067561,0.00385500351619415
0,0,1,0,1,0,0,0,0.05242346753523,0.0382820793717418,0.0445554467714631,0.0459827249850994,0.045716758566167,0.0453920954459403,0.00502858708863806
0,0,1,0,1,0,0,1,0.0643902960017775,0.0457922656488692,0.0450497591427951,0.0485191734600843,0.0481019534049909,0.0503706895317034,0.00797494367388213
0,0,1,0,1,0,1,0,0.0436945851484225,0.0447867915837182,0.0480217505205122,0.0430139922611047,0.0409206978692571,0.0440875634766029,0.00261260275101284
0,0,1,0,1,0,1,1,0.0501264266843004,0.0482246759061176,0.053720175831861,0.0484729959781075,0.0464641979016371,0.0494016944604047,0.00274095137374307
0,0,1,0,1,1,0,0,0.0551451065279729,0.0502706840537982,0.0491870269292105,0.0535124811932947,0.0504325956953562,0.0517095788799265,0.00250587707651605
0,0,1,0,1,1,0,1,0.062276539362896,0.063311574985461,0.0586247142189321,0.0616076521701447,0.0557715457251936,0.0603184052925255,0.00308212721742273
0,0,1,0,1,1,1,0,0.0614342964297375,0.0579264795007021,0.061565667519781,0.0565485250331211,0.0536839309854545,0.0582317798937592,0.00335337158002162
0,0,1,0,1,1,1,1,0.0683859400507377,0.0781076412546092,0.0722589722532267,0.0657057768151184,0.0611113146946805,0.0691139290136745,0.00646075580192907
0,0,1,1,0,0,0,0,0.0429748776760632,0.0392932558993023,0.0316063490089061,0.0411947867532911,0.0403398329528124,0.039081820458075,0.00439119843656922
0,0,1,1,0,0,0,1,0.0542446929738196,0.045515408887584,0.0398692409579485,0.0408508567803284,0.0387834762624792,0.0438527351724319,0.00635086916812998
0,0,1,1,0,0,1,0,0.0331984679853867,0.0300894653189165,0.0369693180044973,0.0367577879849526,0.0386428118591039,0.0351315702305714,0.00344639032429753
0,0,1,1,0,0,1,1,0.0417570469923297,0.0520743620918838,0.0470220972300022,0.0478063132468972,0.0410337005530267,0.0459387040228279,0.00457857290962554
0,0,1,1,0,1,0,0,0.064953187487257,0.049737488176307,0.0558553268260339,0.0535591250466308,0.0450634823248878,0.0538337219722233,0.00744145546548223
0,0,1,1,0,1,0,1,0.0708904035446069,0.0724419856464258,0.0444719386828214,0.0656669810602725,0.060255879115139,0.0627454376098531,0.01128070913741
0,0,1,1,0,1,1,0,0.0537319093725718,0.0612295067831699,0.0587613823087606,0.0568490312351033,0.0510962334622196,0.0563336126323651,0.00401025254496059
0,0,1,1,0,1,1,1,0.0619868558128595,0.0666024738767539,0.0588160545971322,0.0627576917382486,0.0571570629997646,0.0614640278049518,0.00367124813494796
0,0,1,1,1,0,0,0,0.0613737563418109,0.0590758432285511,0.051903655644396,0.0653115156388596,0.0624258633292665,0.0600181268365768,0.0050593337632664
0,0,1,1,1,0,0,1,0.0660349665377526,0.0587602215961545,0.0473801972198154,0.0638478670792347,0.0617372229975884,0.0595520950861091,0.00731502263421927
0,0,1,1,1,0,1,0,0.0582973862833014,0.0560275259401442,0.0504769337143377,0.06078058786769,0.0583646682217458,0.0567894204054438,0.00390873239954098
0,0,1,1,1,0,1,1,0.0705156332223464,0.0655692035982629,0.0584857413365804,0.0687264231741672,0.0623331771629125,0.0651260356988539,0.00485027105541839
0,0,1,1,1,1,0,0,0.072466942655136,0.0747770113760579,0.0599628394060353,0.0715159839023867,0.0643560255744849,0.0686157605828202,0.00620931351333512
0,0,1,1,1,1,0,1,0.0890634188531474,0.0829352443059479,0.0721914534283464,0.0781577653389955,0.0695288177095514,0.0783753399271977,0.0079305817149515
0,0,1,1,1,1,1,0,0.0738141101902101,0.0733710797937004,0.0700080204498557,0.0676089354002857,0.0690007503279607,0.0707605792324025,0.00272648885150129
0,0,1,1,1,1,1,1,0.081726514890651,0.0931641061942476,0.078751830211324,0.0750126896095363,0.0707549960005914,0.0798820273812701,0.0084868464338718
0,1,0,0,0,0,0,0,0.0402490699889737,0.0329832258465867,0.0387599219930094,0.0312153656331143,0.0358445316470488,0.0358104230217466,0.00379176379642547
0,1,0,0,0,0,0,1,0.0477776484776772,0.0437106500504682,0.0315510289790117,0.0479251661468161,0.0476635287578043,0.0437256044823555,0.0070317696676308
